,word,image_api,image,audio_api,audio,spelling,translation1,translation2,translation3,translation4,translation5,translation6
1045,finally,,,http://5.vndic.net/mp3.php?id=finally&dir=154&lang=en&,./MP3/finally.mp3,['fainəli],"{'type': 'phó từ', 'meanings': [{'meaning': 'cuối cùng; kết luận lại', 'examples': [{'origin': 'Finally, I would like to say.....', 'meaning': 'Cuối cùng, tôi muốn nói.....'}]}, {'meaning': 'để kết luận; dứt khoát', 'examples': [{'origin': 'to settle a matter finally', 'meaning': 'giải quyết dứt khoát một vấn đề'}]}, {'meaning': 'rốt cuộc; sau rốt', 'examples': [{'origin': 'after a long delay, the performance finally started', 'meaning': 'sau một hồi trì hoãn dài, cuối cùng buổi trình diễn cũng bắt đầu'}]}]}",,,,,
1046,finance,http://5.vndic.net/images/dict/f/finance.gif,./Image/finance.png,http://5.vndic.net/mp3.php?id=finance&dir=117&lang=en&,./MP3/finance.mp3,['fainæns; fi'næns],"{'type': 'danh từ', 'meanings': [{'meaning': 'tài chính', 'examples': [{'origin': 'joint-stock finance company', 'meaning': 'công ty tài chính cổ phần'}, {'origin': 'the Finance Department', 'meaning': 'Bộ tài chính'}, {'origin': 'Minister of Finance', 'meaning': 'Bộ trưởng tài chính'}]}, {'meaning': '(số nhiều) của cải; vốn liếng', 'examples': []}]}","{'type': 'ngoại động từ', 'meanings': [{'meaning': 'cấp tiền cho, bỏ vốn cho, tài trợ', 'examples': [{'origin': 'to finance a charity', 'meaning': 'tài trợ cho một tổ chức từ thiện'}]}]}","{'type': 'nội động từ', 'meanings': [{'meaning': 'làm công tác tài chính, hoạt động trong ngành tài chính', 'examples': []}]}",,,
1047,financial,http://5.vndic.net/images/dict/f/financial.gif,./Image/financial.png,http://5.vndic.net/mp3.php?id=financial&dir=68&lang=en&,./MP3/financial.mp3,[fai'næn∫l; fi'næn∫l],"{'type': 'tính từ', 'meanings': [{'meaning': '(thuộc) tài chính, (về) tài chính', 'examples': [{'origin': 'a financial institute', 'meaning': 'trường tài chính'}, {'origin': 'financial world', 'meaning': 'giới tài chính'}, {'origin': 'financial year', 'meaning': 'năm tài chính, niên khoá tài chính'}, {'origin': 'to be in financial difficulties', 'meaning': 'gặp khó khăn về tài chính'}]}]}",,,,,
1048,find,http://5.vndic.net/images/dict/f/find.gif,./Image/find.png,http://5.vndic.net/mp3.php?id=find&dir=813&lang=en&,./MP3/find.mp3,[faind],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự tìm thấy (chồn, cáo, mỏ, vàng...)', 'examples': [{'origin': 'a sure find', 'meaning': 'nơi chắc tìm thấy vật gì; nơi chắc có cáo, có chồn...'}]}, {'meaning': 'vật tìm thấy', 'examples': []}]}","{'type': 'ngoại động từ', 'meanings': [{'meaning': 'thấy, tìm thấy, tìm ra, bắt được', 'examples': []}, {'meaning': 'nhận, nhận được, được', 'examples': [{'origin': 'to find favour', 'meaning': 'được chiếu cố'}]}, {'meaning': 'nhận thấy, xét thấy, thấy', 'examples': [{'origin': 'how do you find yourself this morning?', 'meaning': 'sáng nay anh thấy người thế nào?'}, {'origin': 'to find it necessary to do something', 'meaning': 'thấy cần thiết phải làm việc gì'}]}, {'meaning': 'thấy có (thời gian, can đảm...)', 'examples': [{'origin': ""I can't find time to read"", 'meaning': 'tôi không thấy có thời gian để đọc'}, {'origin': 'to find courage to do something', 'meaning': 'thấy có can đảm để làm việc gì'}, {'origin': 'nobody can find it in his heart to do that', 'meaning': 'không ai nỡ lòng nào mà làm việc đó'}]}, {'meaning': '(từ Mỹ,nghĩa Mỹ) tới, đạt tới, trúng', 'examples': [{'origin': 'the blow found his chin', 'meaning': 'quả đấm trúng cằm hắn'}]}, {'meaning': 'cung cấp', 'examples': [{'origin': 'to find someone in clothes', 'meaning': 'cung cấp cho ai quần áo'}, {'origin': 'to be well found in food', 'meaning': 'được cung cấp đầy đủ về thức ăn'}, {'origin': 'all found', 'meaning': 'được cấp đầy đủ cả ăn, ở, quần áo, ngoài lương ra (người ở)'}]}, {'meaning': '(pháp lý) xác minh và tuyên bố là có tội', 'examples': [{'origin': 'to find somebody guilty', 'meaning': 'xác minh và tuyên bố ai có tội'}]}]}",,,,
1049,finding,,,http://5.vndic.net/mp3.php?id=finding&dir=270&lang=en&,./MP3/finding.mp3,['faindiη],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự tìm ra, sự khám phá; sự phát hiện; sự phát minh', 'examples': []}, {'meaning': 'vật tìm thấy; điều khám phá, tài liệu phát hiện; vật bắt được', 'examples': []}, {'meaning': '(pháp lý) sự tuyên án', 'examples': []}, {'meaning': '(số nhiều) đồ nghề và nguyên liệu của thợ thủ công', 'examples': []}]}",,,,,
1050,fine,http://5.vndic.net/images/dict/f/fine.gif,./Image/fine.png,http://5.vndic.net/mp3.php?id=fine&dir=457&lang=en&,./MP3/fine.mp3,[fain],"{'type': 'tính từ', 'meanings': [{'meaning': 'tốt, nguyên chất (vàng, bạc...)', 'examples': [{'origin': 'fine gold', 'meaning': 'vàng nguyên chất, vàng ròng'}]}, {'meaning': 'nhỏ, mịn, thanh mảnh; sắc', 'examples': [{'origin': 'a fine pen', 'meaning': 'bút đầu nhỏ'}, {'origin': 'fine sand', 'meaning': 'cát mịn'}, {'origin': 'fine rain', 'meaning': 'mưa bụi'}, {'origin': 'fine thread', 'meaning': 'sợi chỉ mảnh'}, {'origin': 'a knife with a fine edge', 'meaning': 'con dao lưỡi sắc'}]}, {'meaning': 'tốt, khả quan, giỏi', 'examples': [{'origin': 'a fine idea', 'meaning': 'ý kiến hay'}, {'origin': 'a fine teacher', 'meaning': 'giáo viên giỏi'}]}, {'meaning': 'lớn, đường bệ', 'examples': [{'origin': 'fine potatoes', 'meaning': 'những củ khoai to'}, {'origin': 'a man of fine presence', 'meaning': 'người trông đường bệ'}]}, {'meaning': 'đẹp, xinh, bảnh', 'examples': [{'origin': 'a fine baby', 'meaning': 'đứa bé xinh, đứa bé kháu'}]}, {'meaning': 'đẹp, trong sáng', 'examples': [{'origin': 'fine weather', 'meaning': 'trời đẹp, trời trong sáng'}]}, {'meaning': 'sặc sỡ, rực rỡ, loè loẹt', 'examples': [{'origin': 'fine feather', 'meaning': 'lông sặc sỡ'}]}, {'meaning': 'cầu kỳ (văn)', 'examples': []}, {'meaning': 'có ý kiến khen ngợi, có ý ca ngợi', 'examples': [{'origin': 'to say fine things about someone', 'meaning': 'khen ngợi ai'}]}, {'meaning': 'tế nhị, tinh vi; chính xác', 'examples': [{'origin': 'a fine distinction', 'meaning': 'sự phân biệt tinh vi'}, {'origin': 'fine mechanics', 'meaning': 'cơ học chính xác'}]}, {'meaning': 'cao thượng, cao quý', 'examples': [{'origin': 'fine feelings', 'meaning': 'những cảm nghĩ cao quý'}]}, {'meaning': '(thể dục,thể thao) hoàn toàn sung sức', 'examples': []}]}",,,,,
1051,finger,http://5.vndic.net/images/dict/f/finger.gif,./Image/finger.png,http://5.vndic.net/mp3.php?id=finger&dir=898&lang=en&,./MP3/finger.mp3,['fiηgə],"{'type': 'danh từ', 'meanings': [{'meaning': 'ngón tay', 'examples': []}, {'meaning': 'ngón tay bao găng', 'examples': []}, {'meaning': 'vật hình ngón tay (trong máy...)', 'examples': []}]}",,,,,
1052,finish,http://5.vndic.net/images/dict/f/finish.gif,./Image/finish.png,http://5.vndic.net/mp3.php?id=finish&dir=955&lang=en&,./MP3/finish.mp3,['fini∫],"{'type': 'danh từ', 'meanings': [{'meaning': 'phần cuối; phần kết thúc; đoạn kết thúc; đích', 'examples': [{'origin': 'the finish of a race', 'meaning': 'đích của cuộc đua'}, {'origin': 'there were several close finishes during the competition', 'meaning': 'có mấy chặng về đích bám sát nhau trong cuộc đua'}]}, {'meaning': 'tình trạng được hoàn tất hoặc hoàn thiện', 'examples': [{'origin': 'furniture with a fine finish', 'meaning': 'đồ đạc được hoàn thiện trao chuốt'}, {'origin': 'his manners lack finish', 'meaning': 'tính cách của nó thiếu tinh tế'}, {'origin': 'to be in at the finish', 'meaning': 'có mặt lúc hạ con cáo; có mặt lúc kết thúc'}]}]}",,,,,
1053,fire,http://5.vndic.net/images/dict/f/fire.gif,./Image/fire.png,http://5.vndic.net/mp3.php?id=fire&dir=93&lang=en&,./MP3/fire.mp3,['faiə],"{'type': 'danh từ', 'meanings': [{'meaning': 'lửa, ánh lửa', 'examples': [{'origin': 'fire burns', 'meaning': 'lửa cháy'}, {'origin': 'to strike fire', 'meaning': 'đánh lửa'}, {'origin': 'there is no smoke without fire', 'meaning': 'không có lửa sao có khói'}]}, {'meaning': 'sự cháy, hoả hoạn, sự cháy nhà', 'examples': [{'origin': 'on fire', 'meaning': 'đang cháy'}, {'origin': 'to set fire to something; to set something on fire', 'meaning': 'đốt cháy cái gì'}, {'origin': 'to catch (take) fire', 'meaning': 'bắt lửa, cháy'}, {'origin': 'fire!', 'meaning': 'cháy nhà!'}]}, {'meaning': 'ánh sáng', 'examples': [{'origin': ""St Elmo's fire"", 'meaning': 'hòn sáng (thấy ở tàu khi bão)'}]}, {'meaning': 'sự bắn, hoả lực', 'examples': [{'origin': 'to open fire', 'meaning': 'bắt đầu nổ súng, khai hoả'}, {'origin': 'running fire', 'meaning': 'loạt súng nổ liên hồi; (nghĩa bóng) sự phê bình tới tấp; sự phản đối ầm ầm'}, {'origin': 'under enemy fire', 'meaning': 'dưới lằn đạn của địch, dưới hoả lực của địch'}, {'origin': 'between two fires', 'meaning': 'bị bắn từ hai phía lại'}, {'origin': 'line of fire', 'meaning': 'tuyến lửa, hoả tuyến'}]}, {'meaning': 'lò sưởi', 'examples': [{'origin': 'an electric fire', 'meaning': 'lò sưởi điện'}]}, {'meaning': 'sự tra tấn bằng lửa', 'examples': []}, {'meaning': 'sự sốt, cơn sốt', 'examples': []}, {'meaning': 'ngọn lửa ((nghĩa bóng)), sự hăng hái, nhiệt tình, sự sốt sắng, sự vui vẻ hoạt bát', 'examples': [{'origin': 'the fire of patriotism', 'meaning': 'ngọn lửa yêu nước'}]}, {'meaning': 'sự xúc động mạnh mẽ; nguồn cảm hứng; óc tưởng tượng linh hoạt', 'examples': []}]}",,,,,
1054,firm,http://5.vndic.net/images/dict/f/firm.gif,./Image/firm.png,http://5.vndic.net/mp3.php?id=firm&dir=371&lang=en&,./MP3/firm.mp3,['fə:m],"{'type': 'danh từ', 'meanings': [{'meaning': 'hãng, công ty', 'examples': []}]}","{'type': 'tính từ', 'meanings': [{'meaning': 'chắc, rắn chắc', 'examples': [{'origin': 'firm muscles', 'meaning': 'bắp thịt rắn chắc'}]}, {'meaning': 'vững chắc; bền vững', 'examples': [{'origin': 'a firm foundation', 'meaning': 'nền tảng vững chắc'}]}, {'meaning': 'nhất định, không thay đổi', 'examples': [{'origin': 'firm prices', 'meaning': 'giá nhất định'}]}, {'meaning': 'mạnh mẽ', 'examples': [{'origin': 'a firm voice', 'meaning': 'giọng nói mạnh mẽ'}]}, {'meaning': 'kiên quyết, vững vàng, không chùn bước', 'examples': [{'origin': 'firm measures', 'meaning': 'biện pháp kiên quyết'}, {'origin': 'a firm faith', 'meaning': 'lòng tin sắt đá'}, {'origin': 'a firm position (stand)', 'meaning': 'lập trường kiến định'}]}, {'meaning': 'trung thành, trung kiên', 'examples': []}]}",,,,
1055,first/last thing,,,,,thành ngữ thing,,,,,,
1056,fish,http://5.vndic.net/images/dict/f/fish.gif,./Image/fish.png,http://5.vndic.net/mp3.php?id=fish&dir=255&lang=en&,./MP3/fish.mp3,[fi∫],"{'type': 'danh từ', 'meanings': [{'meaning': 'cá', 'examples': [{'origin': 'freshwater fish', 'meaning': 'cá nước ngọt'}, {'origin': 'salt-water fish', 'meaning': 'cá nước mặn'}]}, {'meaning': 'cá, món cá', 'examples': []}, {'meaning': '(thiên văn học) chòm sao Cá', 'examples': []}, {'meaning': 'người cắn câu, người bị mồi chài', 'examples': []}, {'meaning': 'con người, gã (có cá tính đặc biệt)', 'examples': [{'origin': 'a queer fish', 'meaning': 'một con người (gã) kỳ quặc'}]}]}",,,,,
1057,fishing,http://5.vndic.net/images/dict/f/fishing.gif,./Image/fishing.png,http://5.vndic.net/mp3.php?id=fishing&dir=686&lang=en&,./MP3/fishing.mp3,['fi∫iη],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự đánh cá, sự câu cá', 'examples': []}, {'meaning': 'nghề cá', 'examples': [{'origin': 'deep-sea fishing', 'meaning': 'nghề khơi'}]}]}",,,,,
1058,fit,http://5.vndic.net/images/dict/f/fit.gif,./Image/fit.png,http://5.vndic.net/mp3.php?id=fit&dir=721&lang=en&,./MP3/fit.mp3,[fit],"{'type': 'danh từ', 'meanings': [{'meaning': '(từ cổ,nghĩa cổ) đoạn thơ ((cũng) fytte)', 'examples': []}, {'meaning': 'cơn (đau)', 'examples': [{'origin': 'a fit of coughing', 'meaning': 'cơn ho'}, {'origin': 'a fit of laughter', 'meaning': 'sự cười rộ lên'}]}, {'meaning': 'sự ngất đi, sự xỉu', 'examples': [{'origin': 'to fall down in a fit', 'meaning': 'ngất đi'}]}, {'meaning': 'đợt', 'examples': [{'origin': 'a fit of energy', 'meaning': 'một đợt gắng sức'}]}, {'meaning': 'hứng', 'examples': [{'origin': 'when the fit is on one', 'meaning': 'tuỳ hứng'}]}]}",,,,,
1059,fitness,http://5.vndic.net/images/dict/f/fitness.gif,./Image/fitness.png,http://5.vndic.net/mp3.php?id=fitness&dir=853&lang=en&,./MP3/fitness.mp3,['fitnis],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự thích hợp, sự phù hợp, sự vừa vặn; sự xứng dáng', 'examples': []}, {'meaning': 'sự đúng, sự phải', 'examples': []}, {'meaning': 'tình trạng sung sức', 'examples': []}]}",,,,,
1060,five,http://5.vndic.net/images/dict/f/five.gif,./Image/five.png,http://5.vndic.net/mp3.php?id=five&dir=489&lang=en&,./MP3/five.mp3,[faiv],"{'type': 'tính từ', 'meanings': [{'meaning': 'năm', 'examples': [{'origin': 'to be five', 'meaning': 'lên năm (tuổi)'}]}]}","{'type': 'danh từ', 'meanings': [{'meaning': 'số năm', 'examples': []}, {'meaning': 'bộ năm', 'examples': []}, {'meaning': 'con năm (quân bài, con súc sắc)', 'examples': []}, {'meaning': 'đồng năm bảng Anh', 'examples': []}, {'meaning': '(số nhiều) giày số 5; găng tay số 5', 'examples': []}, {'meaning': 'đội bóng rổ (5 người)', 'examples': []}, {'meaning': '(số nhiều) cổ phần lãi năm phần trăm', 'examples': []}]}",,,,
1061,fix,http://5.vndic.net/images/dict/f/fix.gif,./Image/fix.png,http://5.vndic.net/mp3.php?id=fix&dir=547&lang=en&,./MP3/fix.mp3,[fiks],"{'type': 'ngoại động từ', 'meanings': [{'meaning': 'đóng, gắn, lắp, để, đặt', 'examples': [{'origin': 'to fix bayonet', 'meaning': 'lắp lưỡi lê vào súng'}, {'origin': ""to fix something in one's mind"", 'meaning': 'ghi sâu một điều gì vào trong óc'}]}, {'meaning': 'tập trung, dồn (sự nhìn, sự chú ý, tình thân yêu...)', 'examples': [{'origin': ""to fix one's eyes on something"", 'meaning': 'dồn con mắt vào cái gì'}, {'origin': ""to fix someone's attention"", 'meaning': 'làm cho ai chú ý'}]}, {'meaning': 'làm đông lại, làm đặc lại', 'examples': []}, {'meaning': 'hãm (ảnh, màu...); cố định lại', 'examples': []}, {'meaning': 'nhìn chằm chằm', 'examples': [{'origin': 'to fix someone with an angry stare', 'meaning': 'chằm chằm nhìn ai một cách giận dữ'}]}, {'meaning': 'định, ấn định (vị trí...), quy định phạm vi (trách nhiệm...), quy định, thu xếp', 'examples': [{'origin': 'to fix a date for a meeting', 'meaning': 'định ngày họp'}]}, {'meaning': 'ổn định (sự thay đổi, sự phát triển một ngôn ngữ)', 'examples': []}, {'meaning': 'sửa chữa; (từ Mỹ,nghĩa Mỹ) sang sửa', 'examples': [{'origin': 'to fix a machine', 'meaning': 'chữa một cái máy'}, {'origin': ""to fix up one's face"", 'meaning': 'hoá trang'}]}, {'meaning': '(từ Mỹ,nghĩa Mỹ) bố trí, tổ chức, chuẩn bị, sắp xếp', 'examples': [{'origin': 'to fix someone up for the night', 'meaning': 'bố trí chỗ ngủ đêm cho ai'}, {'origin': 'to fix someone up with a job', 'meaning': 'bố trí sắp xếp công việc cho ai'}, {'origin': 'to fix a breakfast', 'meaning': 'dọn bữa ăn sáng'}, {'origin': 'to fix a fight', 'meaning': 'bố trí trước một cuộc đấu quyền Anh (cho ai thắng)'}]}, {'meaning': '(từ Mỹ,nghĩa Mỹ), (thông tục) hối lộ, đấm mồm (ai)', 'examples': []}, {'meaning': '(từ Mỹ,nghĩa Mỹ), (thông tục) trừng phạt; trả thù, trả đũa (ai)', 'examples': []}]}","{'type': 'nội động từ', 'meanings': [{'meaning': 'trở nên vững chắc', 'examples': []}, {'meaning': 'đông đặc lại', 'examples': []}, {'meaning': '(+ on, upon) chọn, định', 'examples': [{'origin': 'to fix on (upon) a date', 'meaning': 'định ngày'}]}, {'meaning': 'đứng vào vị trí', 'examples': []}]}","{'type': 'danh từ', 'meanings': [{'meaning': 'tình thế khó khăn', 'examples': [{'origin': 'to be in a fix', 'meaning': 'ở vào tình thế khó khăn'}, {'origin': 'to get oneself into a bad fix', 'meaning': 'lâm vào tình trạng khó khăn túng bấn'}]}, {'meaning': 'sự tìm vị trí; vị trí phát hiện', 'examples': []}, {'meaning': '(từ Mỹ,nghĩa Mỹ), (thông tục) người có thể hối lộ được', 'examples': []}]}",,,
1062,flag,http://5.vndic.net/images/dict/f/flag.gif,./Image/flag.png,http://5.vndic.net/mp3.php?id=flag&dir=16&lang=en&,./MP3/flag.mp3,['flæg],"{'type': 'danh từ', 'meanings': [{'meaning': '(thực vật học) cây irit', 'examples': []}, {'meaning': 'phiến đá lát đường ((cũng) flag stone)', 'examples': []}, {'meaning': '(số nhiều) mặt đường lát bằng đá phiến', 'examples': []}]}","{'type': 'ngoại động từ', 'meanings': [{'meaning': 'lát bằng đá phiến', 'examples': []}]}","{'type': 'danh từ', 'meanings': [{'meaning': 'lông cánhchim ((cũng) flag feather)', 'examples': []}, {'meaning': 'cờ', 'examples': [{'origin': 'to hoist the flag', 'meaning': 'kéo cờ trên đất mới khám phá'}]}, {'meaning': '(hàng hải) cờ lệnh (trên tàu có hàng đô đốc)', 'examples': []}, {'meaning': 'đuôi cờ (của một loại chó săn)', 'examples': []}]}",,,
1063,flame,http://5.vndic.net/images/dict/f/flame.gif,./Image/flame.png,http://5.vndic.net/mp3.php?id=flame&dir=681&lang=en&,./MP3/flame.mp3,[fleim],"{'type': 'danh từ', 'meanings': [{'meaning': 'ngọn lửa', 'examples': [{'origin': 'to be in flames', 'meaning': 'đang cháy'}, {'origin': 'to burst into flames', 'meaning': 'bốc cháy'}]}, {'meaning': 'ánh hồng', 'examples': [{'origin': 'the flames of sunset', 'meaning': 'ánh hồng lúc mặt trời lặn'}]}, {'meaning': 'cơn, cơn bừng bừng', 'examples': [{'origin': 'a flame of anger', 'meaning': 'cơn giận'}, {'origin': 'a flame of indignation', 'meaning': 'cơn phẫn nộ'}]}, {'meaning': '(đùa cợt) người yêu, người tình', 'examples': [{'origin': 'an old flame of mine', 'meaning': 'một trong những người tình cũ của tôi'}]}]}",,,,,
1064,flat,http://5.vndic.net/images/dict/f/flat.gif,./Image/flat.png,http://5.vndic.net/mp3.php?id=flat&dir=21&lang=en&,./MP3/flat.mp3,[flæt],"{'type': 'danh từ', 'meanings': [{'meaning': 'dãy phòng (ở một tầng trong một nhà khối)', 'examples': []}, {'meaning': '(từ Mỹ,nghĩa Mỹ) căn phòng, căn buồng', 'examples': []}, {'meaning': '(hàng hải) ngăn, gian', 'examples': []}, {'meaning': '(từ hiếm,nghĩa hiếm) tầng', 'examples': []}, {'meaning': 'mặt phẳng', 'examples': []}, {'meaning': 'miền đất phẳng', 'examples': []}, {'meaning': 'lòng (sông, bàn tay...)', 'examples': [{'origin': 'the flat of the hand', 'meaning': 'lòng bàn tay'}]}, {'meaning': 'miền đất thấp, miền đầm lầy', 'examples': []}, {'meaning': 'thuyền đáy bằng', 'examples': []}, {'meaning': 'rổ nông, hộp nông', 'examples': []}, {'meaning': '(từ Mỹ,nghĩa Mỹ), (ngành đường sắt) toa trần ((cũng) flat-car)', 'examples': []}, {'meaning': '(sân khấu) phần phông đã đóng khung', 'examples': []}, {'meaning': '(âm nhạc) dấu giáng', 'examples': []}, {'meaning': '(số nhiều) giày đế bằng', 'examples': []}, {'meaning': '(từ lóng) kẻ lừa bịp', 'examples': []}, {'meaning': '(từ Mỹ,nghĩa Mỹ), (thông tục) lốp bẹp, lốp xì hơi', 'examples': []}]}",,,,,
1065,flavor,,,http://5.vndic.net/mp3.php?id=flavor&dir=524&lang=en&,./MP3/flavor.mp3,['fleivə],,,,,,
1066,flee,http://5.vndic.net/images/dict/f/flee.gif,./Image/flee.png,http://5.vndic.net/mp3.php?id=flee&dir=435&lang=en&,./MP3/flee.mp3,[fli:],"{'type': 'động từ fled', 'meanings': [{'meaning': 'chạy trốn, bỏ chạy; lẩn trốn', 'examples': []}, {'meaning': 'biến mất; qua đi, trôi qua', 'examples': [{'origin': 'the night had fled', 'meaning': 'đêm đã trôi qua'}, {'origin': 'time is fleeing away', 'meaning': 'thời gian thấm thoát trôi qua'}]}]}",,,,,
1067,flesh,http://5.vndic.net/images/dict/f/flesh.gif,./Image/flesh.png,http://5.vndic.net/mp3.php?id=flesh&dir=423&lang=en&,./MP3/flesh.mp3,[fle∫],"{'type': 'danh từ', 'meanings': [{'meaning': 'thịt', 'examples': []}, {'meaning': 'thịt, cùi (quả)', 'examples': []}, {'meaning': 'sự mập, sự béo', 'examples': [{'origin': 'to put on flesh', 'meaning': 'lên cân, béo ra'}, {'origin': 'to lose flesh', 'meaning': 'sút cân, gầy đi'}]}, {'meaning': 'xác thịt, thú nhục dục', 'examples': []}]}",,,,,
1068,flight,http://5.vndic.net/images/dict/f/flight.gif,./Image/flight.png,http://5.vndic.net/mp3.php?id=flight&dir=302&lang=en&,./MP3/flight.mp3,[flait],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự bay; chuyến bay; đường bay', 'examples': [{'origin': 'history of manned space flight', 'meaning': 'lịch sử của việc con người bay vào vũ trụ'}, {'origin': 'the age of supersonic flight', 'meaning': 'thời đại của những chuyến bay siêu âm'}, {'origin': 'the bird had been shot down in flight', 'meaning': 'con chim bị bắn rơi khi đang bay'}, {'origin': 'the flight of an arrow, a dart, a missile', 'meaning': 'đường bay của mũi tên, phi tiêu, tên lửa'}, {'origin': 'a smooth, comfortable, bumpy flight', 'meaning': 'chuyến bay ôm, thoải mái, xóc'}, {'origin': 'all flights have been cancelled because of flogs', 'meaning': 'mọi chuyến bay đều bị hủy vì sương mù'}, {'origin': 'we travelled aboard the same flight', 'meaning': 'chúng tôi cùng đi trên một chuyến bay'}, {'origin': 'flight number BA 1234 will arrive in London at 16.50', 'meaning': 'chuyến bay số BA 1234 sẽ đến Luân Đôn lúc 16 giờ 50'}]}, {'meaning': 'nhóm các máy bay cùng hoạt động thành một đơn vị; phi đội', 'examples': [{'origin': ""an aircraft of the Queen's flight"", 'meaning': 'máy bay thuộc phi đội của Nữ hoàng'}]}, {'meaning': '(flight of something) đàn chim, bầy côn trùng... cùng bay; chùm mũi tên phóng ra', 'examples': [{'origin': 'a flight of geese', 'meaning': 'một đàn ngỗng bay'}, {'origin': 'a flight of arrows', 'meaning': 'một chùm tên bay'}]}, {'meaning': 'dãy bậc thang giữa hai tầng nhà hoặc hai đầu cầu thang', 'examples': [{'origin': 'there was no lift and we had to climb six flights of stairs', 'meaning': 'không có thang máy, nên chúng tôi phải leo sáu đợt cầu thang'}]}, {'meaning': 'chuyến đi ngắn (nhất là về thời gian)', 'examples': []}, {'meaning': '(flight of something) trường hợp về một cái gì rất sáng tạo, nhưng không thực tế', 'examples': [{'origin': 'wild flights of imagination', 'meaning': 'những điều tưởng tượng phiêu diêu'}]}]}",,,,,
1069,float,http://5.vndic.net/images/dict/f/float.gif,./Image/float.png,http://5.vndic.net/mp3.php?id=float&dir=72&lang=en&,./MP3/float.mp3,[flout],"{'type': 'danh từ', 'meanings': [{'meaning': 'cái phao; phao cứu đắm', 'examples': []}, {'meaning': 'bè (gỗ...); mảng trôi (băng, rong...)', 'examples': []}, {'meaning': 'bong bóng (cá)', 'examples': []}, {'meaning': 'xe ngựa (chở hàng nặng)', 'examples': []}, {'meaning': 'xe rước, xe diễu hành (không có mui để đặt các thứ lên mà rước khách, mà diễu hành)', 'examples': []}, {'meaning': '(sân khấu) (số nhiều) dãy đèn chiếu trước sân khấu', 'examples': []}, {'meaning': 'cánh (guồng, nước)', 'examples': []}, {'meaning': 'cái bay', 'examples': []}, {'meaning': 'cái giũa có đường khía một chiều', 'examples': []}, {'meaning': '(từ hiếm,nghĩa hiếm) sự nổi', 'examples': [{'origin': 'on the float', 'meaning': 'nổi'}]}]}","{'type': 'nội động từ', 'meanings': [{'meaning': 'nổi, trôi lềnh bềnh', 'examples': [{'origin': 'wood floats on water', 'meaning': 'gỗ nổi trên mặt nước'}]}, {'meaning': 'lơ lửng', 'examples': [{'origin': 'dust floats in the air', 'meaning': 'bụi lơ lửng trong không khí'}]}, {'meaning': 'đỡ cho nổi (nước)', 'examples': []}, {'meaning': '(thương nghiệp) bắt đầu, khởi công, khởi sự', 'examples': []}, {'meaning': '(thương nghiệp) lưu hành, lưu thông; sắp đến hạn trả', 'examples': []}, {'meaning': 'thoáng qua, phảng phất', 'examples': [{'origin': 'ideas float through mind', 'meaning': 'ý nghĩ thoáng qua trong trí óc'}, {'origin': 'visions float before the eyes', 'meaning': 'những ảo ảnh phảng phất trước mắt'}]}]}","{'type': 'ngoại động từ', 'meanings': [{'meaning': 'thả trôi, làm nổi lên, đỡ nổi', 'examples': [{'origin': 'to float a raft of logs down a river', 'meaning': 'thả bè gỗ trôi sông'}, {'origin': 'to float a ship', 'meaning': 'làm nổi một chiếc tàu (mắc cạn)'}]}, {'meaning': 'làm ngập nước', 'examples': []}, {'meaning': 'truyền (tin đồn)', 'examples': []}, {'meaning': '(thương nghiệp) bắt đầu khởi công, khởi sự (kế hoạch, công trình...)', 'examples': []}, {'meaning': '(thương nghiệp) cổ động tuyên truyền cho', 'examples': [{'origin': 'to float a loan', 'meaning': 'cổ động tuyên truyền gọi người cho vay'}]}]}",,,
1070,floor,http://5.vndic.net/images/dict/f/floor.gif,./Image/floor.png,http://5.vndic.net/mp3.php?id=floor&dir=535&lang=en&,./MP3/floor.mp3,[flɔ:],"{'type': 'danh từ', 'meanings': [{'meaning': 'sàn (nhà, cầu...)', 'examples': []}, {'meaning': 'tầng (nhà)', 'examples': []}, {'meaning': 'đáy', 'examples': [{'origin': 'the ocean floor', 'meaning': 'đáy đại dương'}]}, {'meaning': 'phòng họp (quốc hội)', 'examples': []}, {'meaning': 'quyền phát biểu ý kiến (ở hội nghị))', 'examples': [{'origin': 'to give somebody the floor', 'meaning': 'để cho ai phát biểu ý kiến'}, {'origin': 'to take the floor', 'meaning': 'phát biểu ý kiến'}, {'origin': 'to hold the floor', 'meaning': 'giành quyền phát biểu, chiếm diễn đàn'}]}, {'meaning': 'giá thấp nhất', 'examples': []}]}",,,,,
